extract_date,id,title,street_name,general_address,apartment_type,stock,total_area,used_area,rooms,bedrooms,bathrooms,cold_rent,total_rent,condition
yesterday,103281994,Pure Wohn- und Lebensfreude - 2 Zimmerwhg. im HERZEN von BERLIN - Gym free,Voßstr. ,"10117 Berlin, Mitte (Mitte)",Etagenwohnung,3,"111,89 m²","111,89 m²",2,1.0,1.0,"1.678,35 €","1.678,35 € (zzgl. Nebenkosten)",Erstbezug
yesterday,85811288,"Stilvolle Altbauwohnung in Kiezlage in Prenzlberg! EBK, Balkon, Duschbad...",Pintschstraße ,"10249 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,3 von 4,44 m²,44 m²,1,,1.0,599 €,748 €,Gepflegt
yesterday,70774440,Stilvolle Altbauwohnung mit Balkon in Prenzlberg!,Ebertystraße ,"10249 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,1 von 4,53 m²,53 m²,1,,1.0,659 €,754 € (zzgl. Heizkosten),Gepflegt
yesterday,112070896,Gepflegter Neubau im grünen Karlshorst - 2 Balkone,Güntherstraße A,"10318 Berlin, Karlshorst (Lichtenberg)",Etagenwohnung,3 von 4,"81,65 m²",,3,2.0,1.0,735 €,895 €,Gepflegt
yesterday,111321013,Gehobenes Wohnen in Design-Neubau mit Concierge,Am Hamburger Bahnhof ,"10557 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,2 von 7,"67,27 m²",,2,1.0,1.0,"1.009,05 €","1.305,10 €",Erstbezug
yesterday,111343134,Neubauwohnung mit Parkett - Fußbodenheizung - zwei Bäder,Hallesche Straße ,"10963 Berlin, Kreuzberg (Kreuzberg)",Etagenwohnung,1 von 6,"72,97 m²",,3,2.0,2.0,"1.167,52 €","1.433,86 €",Erstbezug
yesterday,112170415,"Traumwohnung mit Parkett, Loggia und Aufzug in bester Lage!",Kanzowstraße ,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Etagenwohnung,4 von 4,"85,01 m²",,2,1.0,1.0,"895,10 €",1.100 €,Gepflegt
yesterday,112124789,"Besichtigung am Mittwoch,13.12. um 16:40 Uhr! Wunderschöne Wohnung im Grünen - zur Dahme ausgerichte",Wendenschloßstraße ,"12557 Berlin, Köpenick (Köpenick)",Etagenwohnung,1 von 5,"62,5 m²",,2,1.0,1.0,"540,60 €","712,50 €",Gepflegt
yesterday,112131454,Mittwochsbesichtigung am 13.12. um 17:00 Uhr! Komfortable Zwei-Zimmer-Wohnung in idyllischer Lage,Wendenschloßstraße ,"12557 Berlin, Köpenick (Köpenick)",Etagenwohnung,1 von 3,"61,7 m²",,2,1.0,1.0,"481,30 €",651 €,Gepflegt
yesterday,111438172,CITY-CONCEPT: Klassische Komfortaltbauwohnung nahe Kurfürstendamm - Erstbezug nach Sanierung -,Westfälische Straße ,"10711 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,4,100 m²,,3,2.0,1.0,1.495 €,1.710 €,Erstbezug nach Sanierung
