Date;BAJAJ-AUTO;EICHERMOT;HEROMOTOCO;M&M;MARUTI;TATAMOTORS;AXISBANK;HDFCBANK;ICICIBANK;INDUSINDBK;KOTAKBANK;SBIN;YESBANK;GRASIM;ULTRACEMCO;UPL;LT;ASIANPAINT;HINDUNILVR;ITC;TITAN;BPCL;GAIL;HINDPETRO;IOC;ONGC;RELIANCE;NTPC;POWERGRID;BAJAJFINSV;BAJFINANCE;HDFC;IBULHSGFIN;HCLTECH;INFY;TCS;TECHM;WIPRO;ZEEL;COALINDIA;HINDALCO;TATASTEEL;VEDL;CIPLA;DRREDDY;LUPIN;SUNPHARMA;ADANIPORTS;BHARTIARTL;ABB;ACC;ABCAPITAL;AMBUJACEM;ASHOKLEY;AUROPHARMA;DMART;BANKBARODA;BEL;BHEL;BOSCHLTD;BRITANNIA;CADILAHC;COLPAL;CONCOR;CUMMINS;DABUR;DLF;EMAMI;GICRE;GODREJCP;HAVELLS;HINDZINC;ICICIPRULI;IDEA;INDIGO;JSWSTEEL;L&TFH;LICHSGFIN;MARICO;MOTHERSUMI;MRF;NHPC;NMDC;OIL;OFSS;PETRONET;PIDILITIND;PEL;PFC;PGHH;PNB;RECLTD;SAIL;SBILIFE;SHREECEM;SRTRANSFIN;SIEMENS;SUNTV;MCDOWELL-N
2015-01-01;;15262.35;3105.4;;3340.75;498.45;503.05;952.05;352.3;812.0;1258.6;314.0;772.55;3402.5;2662.5;341.6;1502.95;749.15;758.45;367.15;379.8;654.2;442.6;550.55;336.45;344.05;887.9;142.45;137.1;1286.6;3499.7;1124.0;454.15;1606.8;1974.4;2545.55;2594.55;552.4;377.7;380.05;158.45;404.45;;628.4;3210.5;1429.2;822.2;319.55;362.9;1301.5;1403.55;;227.75;52.0;1127.1;;1083.05;2939.35;268.55;19454.1;1831.5;1612.0;1805.85;1357.9;;232.4;137.4;;;965.9;276.3;168.45;;159.35;;1065.9;;438.1;323.85;455.4;37981.35;18.9;148.25;576.55;3357.65;211.35;549.25;832.8;305.85;5811.1;219.65;335.7;82.75;;9377.55;1102.35;906.7;378.6;
2015-01-02;;15081.95;3098.1;;3359.6;511.8;514.3;965.3;362.3;815.9;1271.55;315.25;792.2;3495.7;2742.1;352.25;1534.65;775.05;755.95;368.3;382.8;644.4;444.6;546.25;334.6;349.2;885.55;144.4;138.75;1275.65;3443.75;1171.9;480.35;1605.25;2013.2;2579.45;2607.25;557.3;380.95;381.75;160.1;410.75;;630.15;3221.4;1432.3;826.25;319.35;365.05;1288.0;1425.9;;230.95;53.4;1132.5;;1096.25;2924.65;275.3;19539.85;1878.55;1627.65;1843.9;1357.6;;234.7;139.2;;;970.1;275.1;171.55;;159.9;;1069.15;;466.75;329.95;457.15;38192.25;19.05;146.95;578.95;3411.15;211.2;559.9;839.5;306.8;5836.05;219.8;334.9;82.85;;9325.9;1106.1;914.35;375.7;
2015-01-05;;15150.55;3119.4;;3447.8;523.8;517.55;957.15;363.05;819.1;1266.45;312.75;793.9;3508.85;2747.7;345.7;1556.0;775.0;760.3;369.75;385.9;645.65;446.0;561.7;338.2;353.15;875.85;144.0;138.9;1258.7;3434.75;1156.4;483.4;1578.25;1995.9;2540.25;2563.75;558.3;380.0;380.25;156.85;416.7;;633.0;3148.4;1430.3;826.75;323.8;356.95;1288.3;1433.65;;230.65;57.8;1131.95;;1095.95;2869.4;273.4;19736.05;1879.85;1699.4;1828.15;1378.0;;231.45;135.8;;;970.45;277.8;169.25;;153.55;;1066.6;;470.2;323.95;449.25;38477.3;18.9;146.2;563.85;3405.6;212.0;551.8;838.1;304.45;5839.7;217.75;333.95;82.7;;9302.55;1071.6;918.65;370.0;
2015-01-06;;14755.9;3014.4;;3395.25;501.4;499.05;942.25;347.65;798.4;1251.35;299.9;771.65;3375.05;2670.6;328.95;1504.1;756.5;774.7;360.25;372.7;639.15;431.9;556.15;334.45;333.15;836.1;139.2;135.8;1229.6;3425.85;1101.95;473.6;1536.1;1954.2;2446.6;2536.25;545.25;367.9;379.95;153.4;396.5;;614.35;3065.55;1395.85;808.55;321.85;354.15;1276.6;1383.55;;222.15;56.55;1087.8;;1059.5;2831.45;260.95;19188.7;1881.9;1660.2;1840.15;1349.2;;224.35;133.65;;;952.0;262.65;168.25;;150.5;;1027.7;;447.55;327.65;435.0;37460.0;18.5;139.95;535.2;3300.6;205.45;526.6;827.2;287.75;5799.35;207.75;319.85;78.65;;9076.35;1045.45;895.7;350.05;
2015-01-07;;14959.9;2974.05;;3437.75;493.85;498.65;945.0;338.25;791.95;1271.5;300.15;757.35;3417.5;2660.05;323.05;1500.5;771.7;801.9;353.55;374.6;644.95;420.9;568.6;335.05;338.05;854.3;142.55;137.75;1228.55;3495.6;1099.25;497.5;1499.6;1963.55;2417.7;2524.4;541.1;364.85;374.7;148.9;388.9;;611.95;3039.2;1377.6;809.8;321.1;355.0;1258.2;1367.45;;220.1;59.65;1105.05;;1066.7;3213.0;253.85;19156.7;1995.75;1648.9;1874.35;1355.45;;227.75;134.6;;;960.15;266.25;164.15;;149.75;;1011.85;;457.25;322.0;441.0;37381.05;18.25;135.85;532.8;3300.7;209.6;519.95;835.25;277.6;5845.65;203.85;317.85;77.8;;9064.0;1040.0;899.2;342.35;
2015-01-08;;14873.7;2984.0;;3475.5;512.0;501.95;964.85;347.45;798.7;1340.65;304.85;769.15;3424.95;2727.45;332.8;1510.05;820.35;817.05;362.4;372.9;677.6;430.75;598.05;343.5;341.8;842.05;144.95;138.35;1289.8;3489.65;1123.35;504.65;1534.3;1973.45;2443.8;2566.65;545.0;364.5;379.45;152.55;394.95;;618.2;3066.3;1407.95;818.8;334.55;361.15;1288.0;1391.4;;226.4;61.25;1126.7;;1077.6;3144.5;257.55;19618.9;1969.2;1647.15;1924.9;1347.85;;230.0;142.75;;;990.15;273.8;164.85;;152.3;;1022.1;;469.15;321.55;442.95;38076.5;18.6;137.55;550.3;3325.15;217.2;519.8;840.4;279.5;5964.9;206.55;320.9;79.15;;9161.75;1053.4;920.4;347.75;
2015-01-09;;14738.7;2992.25;;3468.2;522.3;494.95;975.65;341.85;802.0;1360.95;303.2;763.85;3404.55;2729.35;332.35;1500.25;812.5;864.6;356.9;372.9;679.35;435.3;589.1;341.7;351.0;860.3;140.25;138.45;1279.2;3450.05;1113.3;495.5;1545.55;2074.45;2512.3;2680.35;553.5;360.8;375.05;155.0;399.65;;632.35;3163.8;1420.7;830.05;331.15;355.8;1265.05;1398.5;;223.8;58.7;1169.55;;1060.45;3202.2;254.75;19450.3;1945.3;1686.7;1920.2;1365.75;;229.45;137.85;;;1023.55;273.1;162.75;;147.6;;1012.95;;473.2;318.95;437.75;37707.25;18.55;135.35;565.2;3289.2;213.9;522.25;842.05;280.7;6148.2;206.6;315.2;78.55;;9188.3;1061.1;914.45;353.65;
2015-01-12;;14857.65;2937.15;;3462.9;522.3;501.55;967.05;346.55;829.45;1371.0;307.1;777.85;3435.55;2700.3;330.6;1534.2;807.75;896.6;357.85;376.8;676.4;430.25;585.0;339.5;347.7;850.3;140.0;136.5;1267.7;3438.2;1128.55;497.6;1575.55;2115.95;2509.7;2754.0;556.05;360.9;357.85;151.1;396.75;;630.75;3207.25;1431.0;835.3;328.45;348.95;1267.0;1404.6;;228.0;60.3;1177.6;;1080.0;3215.05;257.65;20326.25;1932.0;1652.45;1926.85;1352.3;;234.75;136.5;;;1058.85;270.85;159.55;;146.1;;1000.7;;459.1;318.75;435.5;38094.45;18.6;133.7;550.85;3273.25;206.85;525.7;831.75;283.45;6120.0;208.95;315.15;80.0;;9202.05;1040.85;926.2;377.55;
2015-01-13;;14799.15;2893.2;;3468.25;519.45;504.5;963.35;340.9;825.5;1392.95;305.1;781.75;3546.35;2818.5;344.75;1519.5;833.85;884.55;360.1;372.2;669.55;428.15;588.1;340.15;339.95;843.15;138.95;135.85;1286.45;3483.0;1122.2;492.2;1583.6;2088.9;2497.9;2761.1;563.5;361.75;361.2;151.7;391.5;;636.4;3223.35;1433.05;833.1;323.0;346.3;1271.3;1441.7;;230.1;59.8;1150.35;;1081.6;3332.95;257.5;20403.55;1933.4;1646.75;1939.7;1357.45;;235.75;133.25;;;1081.15;270.35;159.15;;147.0;;993.45;;462.35;334.25;446.25;38170.1;18.55;135.0;535.2;3302.6;207.25;538.55;840.35;275.3;6097.5;207.35;310.9;78.25;;9231.9;1039.5;919.4;371.0;
2015-01-14;;14833.55;2903.05;;3516.0;520.35;499.6;963.9;336.9;816.65;1391.2;304.7;786.7;3566.8;2908.85;358.2;1518.0;842.65;924.05;347.8;371.6;651.7;426.5;573.2;335.7;344.05;834.95;137.75;136.05;1254.2;3773.95;1120.3;499.45;1578.8;2128.65;2521.95;2791.55;551.95;359.95;363.2;142.15;376.85;;631.4;3208.25;1423.35;820.65;331.25;345.8;1262.5;1478.35;;232.85;58.95;1144.5;;1075.05;3289.05;268.75;20985.95;1946.05;1611.55;1938.7;1367.85;;251.05;133.35;;;1085.45;263.65;153.45;;148.5;;968.25;;454.05;351.85;443.15;38235.35;19.6;132.7;529.8;3368.3;203.2;567.3;836.9;280.1;6122.95;203.05;312.1;77.05;;9262.4;1034.2;931.65;365.65;
