
Company Name	Symbol	Sector
Bajaj Auto	BAJAJ-AUTO	Automobile
Eicher Motors	EICHERMOT	Automobile
Hero MotoCorp	HEROMOTOCO	Automobile
Mahindra & Mahindra	M&M	Automobile
Maruti Suzuki	MARUTI	Automobile
Tata Motors	TATAMOTORS	Automobile
Axis Bank	AXISBANK	Banking
HDFC Bank	HDFCBANK	Banking
ICICI Bank	ICICIBANK	Banking
IndusInd Bank	INDUSINDBK	Banking
Kotak Mahindra Bank	KOTAKBANK	Banking
State Bank of India	SBIN	Banking
Yes Bank	YESBANK	Banking
Grasim Industries	GRASIM	Cement
UltraTech Cement	ULTRACEMCO	Cement
United Phosphorus Limited	UPL	Chemicals
Larsen & Toubro	LT	Construction
Asian Paints Ltd	ASIANPAINT	Consumer Goods
Hindustan Unilever	HINDUNILVR	Consumer Goods
ITC Limited	ITC	Consumer Goods
Titan Company	TITAN	Consumer Goods
BPCL	BPCL	Energy - Oil & Gas
GAIL	GAIL	Energy - Oil & Gas
HPCL	HINDPETRO	Energy - Oil & Gas
IOC	IOC	Energy - Oil & Gas
ONGC	ONGC	Energy - Oil & Gas
Reliance Industries	RELIANCE	Energy - Oil & Gas
NTPC Limited	NTPC	Energy - Power
PowerGrid Corporation of India	POWERGRID	Energy - Power
Bajaj Finserv	BAJAJFINSV	Financial Services
Bajaj Finance	BAJFINANCE	Financial Services
HDFC	HDFC	Financial Services
Indiabulls Housing Finance	IBULHSGFIN	Financial Services
HCL Technologies	HCLTECH	Information Technology
Infosys	INFY	Information Technology
Tata Consultancy Services	TCS	Information Technology
Tech Mahindra	TECHM	Information Technology
Wipro	WIPRO	Information Technology
Zee Entertainment Enterprises	ZEEL	Media & Entertainment
Coal India	COALINDIA	Metals
Hindalco Industries	HINDALCO	Metals
Tata Steel	TATASTEEL	Metals
Vedanta	VEDL	Metals
Cipla	CIPLA	Pharmaceuticals
Dr. Reddy's Laboratories	DRREDDY	Pharmaceuticals
Lupin Limited	LUPIN	Pharmaceuticals
Sun Pharmaceutical	SUNPHARMA	Pharmaceuticals
Adani Ports & SEZ Limited	ADANIPORTS	Services - Shipping
Bharti Airtel	BHARTIARTL	Telecommunication
